id_experimento,MH,funcion,fitness,tiempoEjecucion,estado,gap_optimo_pct
1,PSO,F1,64.91491473932602,12.15,terminado,64.91491473932602
2,PSO,F1,17.8027864876244,11.289,terminado,17.8027864876244
3,PSO,F1,19.30278320610609,13.641,terminado,19.30278320610609
4,PSO,F1,20.0007261390263,9.469,terminado,20.0007261390263
5,PSO,F1,10.190685416867234,9.821,terminado,10.190685416867234
6,PSO,F1,22.65516130363263,9.714,terminado,22.65516130363263
7,PSO,F1,16.128945976278512,9.758,terminado,16.128945976278512
8,PSO,F1,19.326458406491163,10.013,terminado,19.326458406491163
9,PSO,F1,21.095271120720746,9.674,terminado,21.095271120720746
10,PSO,F1,18.194077156933016,9.562,terminado,18.194077156933016
11,PSO,F1,11.086156042929774,9.718,terminado,11.086156042929774
12,PSO,F1,15.013285686844492,9.648,terminado,15.013285686844492
13,PSO,F1,18.66803983851352,9.592,terminado,18.66803983851352
14,PSO,F1,21.147578971965796,9.479,terminado,21.147578971965796
15,PSO,F1,31.028384540771004,9.827,terminado,31.028384540771004
16,PSO,F1,31.139122485335356,9.745,terminado,31.139122485335356
17,PSO,F1,27.413426292154345,9.736,terminado,27.413426292154345
18,PSO,F1,12.557254262600932,9.628,terminado,12.557254262600932
19,PSO,F1,21.18094741939841,9.616,terminado,21.18094741939841
20,PSO,F1,28.636539974479604,9.582,terminado,28.636539974479604
21,PSO,F1,33.27963748781997,9.614,terminado,33.27963748781997
22,PSO,F1,18.732660701628372,9.755,terminado,18.732660701628372
23,PSO,F1,17.355585434642848,10.028,terminado,17.355585434642848
24,PSO,F1,12.297013857291256,9.578,terminado,12.297013857291256
25,PSO,F1,33.35771006879392,10.122,terminado,33.35771006879392
26,PSO,F1,29.221448077004126,9.391,terminado,29.221448077004126
27,PSO,F1,50.784699343236746,9.896,terminado,50.784699343236746
28,PSO,F1,11.63302384910421,9.483,terminado,11.63302384910421
29,PSO,F1,17.364202496162424,9.466,terminado,17.364202496162424
30,PSO,F1,24.796035466216733,9.384,terminado,24.796035466216733
31,PSO,F1,18.86218427745066,9.768,terminado,18.86218427745066
32,PSO_FCS:A:3:I1,F1,73799.37991194996,11.835,terminado,73799.37991194996
33,PSO_FCS:A:3:I1,F1,75197.10533748283,12.009,terminado,75197.10533748283
34,PSO_FCS:A:3:I1,F1,81107.80103644203,11.88,terminado,81107.80103644203
35,PSO_FCS:A:3:I1,F1,72226.27891451468,11.601,terminado,72226.27891451468
36,PSO_FCS:A:3:I1,F1,72084.27998741227,12.143,terminado,72084.27998741227
37,PSO_FCS:A:3:I1,F1,81658.7236663689,11.951,terminado,81658.7236663689
38,PSO_FCS:A:3:I1,F1,71844.38999706948,11.719,terminado,71844.38999706948
