config,mean_rank,rank_position,friedman_stat,friedman_p,scope
R1-5L,3.6666666666666665,1,24.078431372549034,0.08780541023465965,optimum != 0
R1-3L,4.333333333333333,2,24.078431372549034,0.08780541023465965,optimum != 0
R4-3L,4.666666666666667,3,24.078431372549034,0.08780541023465965,optimum != 0
R5-3L,5.333333333333333,4,24.078431372549034,0.08780541023465965,optimum != 0
R4-5L,5.333333333333333,5,24.078431372549034,0.08780541023465965,optimum != 0
R6-3L,6.666666666666667,6,24.078431372549034,0.08780541023465965,optimum != 0
R3-3L,7.0,7,24.078431372549034,0.08780541023465965,optimum != 0
R8-3L,9.333333333333334,8,24.078431372549034,0.08780541023465965,optimum != 0
PSO-STD,10.0,9,24.078431372549034,0.08780541023465965,optimum != 0
R7-3L,10.0,10,24.078431372549034,0.08780541023465965,optimum != 0
R2-3L,11.0,11,24.078431372549034,0.08780541023465965,optimum != 0
R5-5L,11.0,12,24.078431372549034,0.08780541023465965,optimum != 0
R6-5L,11.333333333333334,13,24.078431372549034,0.08780541023465965,optimum != 0
R2-5L,11.666666666666666,14,24.078431372549034,0.08780541023465965,optimum != 0
R7-5L,12.666666666666666,15,24.078431372549034,0.08780541023465965,optimum != 0
R3-5L,13.333333333333334,16,24.078431372549034,0.08780541023465965,optimum != 0
R8-5L,15.666666666666666,17,24.078431372549034,0.08780541023465965,optimum != 0
