display_name,optimum_group_label,fitness_mean,fitness_std,gap_abs_mean,gap_abs_std,n_runs,n_functions
PSO-STD,Optimum != 0,-5.933279682894648,3.6886875204786786,4.430903671294999,3.677587447189098,93,3
PSO-STD,Optimum = 0,397.3170132919408,606.540348530402,397.3170132919408,606.540348530402,93,3
R1-3L,Optimum != 0,-6.63072011709441,3.706600581152017,3.7334632370952363,3.686421150233208,93,3
R1-3L,Optimum = 0,527.7933602998847,795.9202333089587,527.7933602998847,795.9202333089587,93,3
R1-5L,Optimum != 0,-6.70972406742661,3.706526315944201,3.654459286763037,3.6897653164199125,93,3
R1-5L,Optimum = 0,461.47687106945233,683.0980690873142,461.47687106945233,683.0980690873142,93,3
R2-3L,Optimum != 0,-5.82356529759594,3.5276705822728576,4.540618056593707,3.5312367788704275,93,3
R2-3L,Optimum = 0,1090438.1592790263,1644753.7176442095,1090438.1592790263,1644753.7176442095,93,3
R2-5L,Optimum != 0,-5.800410663757381,3.498626104371771,4.563772690432265,3.50423484368533,93,3
R2-5L,Optimum = 0,1215612.4060342128,1903790.7175717256,1215612.4060342128,1903790.7175717256,93,3
R3-3L,Optimum != 0,-6.182821119760241,3.5163173988264753,4.181362234429406,3.5110597808991093,93,3
R3-3L,Optimum = 0,1074433.7414584002,1658787.2640149328,1074433.7414584002,1658787.2640149328,93,3
R3-5L,Optimum != 0,-5.535646084397429,3.496083639407145,4.828537269792217,3.4853400246879325,93,3
R3-5L,Optimum = 0,963740.858517623,1458214.9382769251,963740.858517623,1458214.9382769251,93,3
R4-3L,Optimum != 0,-6.439787253752971,3.5884689234977936,3.924396100436675,3.581928272755286,93,3
R4-3L,Optimum = 0,35579.29050000557,50965.382665803176,35579.29050000557,50965.382665803176,93,3
R4-5L,Optimum != 0,-6.370404695047495,3.6612915398958488,3.993778659142151,3.654250103725572,93,3
R4-5L,Optimum = 0,57153.71583793011,81636.66679878913,57153.71583793011,81636.66679878913,93,3
R5-3L,Optimum != 0,-6.395509428376194,3.60860165346637,3.9686739258134534,3.6137023036815283,93,3
R5-3L,Optimum = 0,736.9646892829008,1285.772326340807,736.9646892829008,1285.772326340807,93,3
R5-5L,Optimum != 0,-5.595327678654186,3.5238460422453644,4.76885567553546,3.542549559020102,93,3
R5-5L,Optimum = 0,503.7132999378283,796.1502543446554,503.7132999378283,796.1502543446554,93,3
R6-3L,Optimum != 0,-6.242637677047021,3.730707032742202,4.121545677142625,3.7442273476646006,93,3
R6-3L,Optimum = 0,1341.5046328564656,2032.9587672221965,1341.5046328564656,2032.9587672221965,93,3
R6-5L,Optimum != 0,-5.781497029509433,3.5731194900458805,4.582686324680214,3.581551479327108,93,3
R6-5L,Optimum = 0,1052.1208663344996,1487.2438869253276,1052.1208663344996,1487.2438869253276,93,3
R7-3L,Optimum != 0,-5.803247428043343,3.4459147530204803,4.560935926146303,3.486172219010669,93,3
R7-3L,Optimum = 0,1043240.3688392157,1632923.4765013852,1043240.3688392157,1632923.4765013852,93,3
R7-5L,Optimum != 0,-5.687846649537606,3.495946534482447,4.676336704652041,3.490308984054478,93,3
R7-5L,Optimum = 0,1273982.6202218933,1992022.8727034533,1273982.6202218933,1992022.8727034533,93,3
R8-3L,Optimum != 0,-6.020733504829783,3.5628630864022464,4.343449849359863,3.5540367045380066,93,3
R8-3L,Optimum = 0,2989.082758226507,4219.941730484869,2989.082758226507,4219.941730484869,93,3
R8-5L,Optimum != 0,-5.266236800035154,3.4377304870387473,5.097946554154492,3.43940345231794,93,3
R8-5L,Optimum = 0,3629.704342238071,5165.5083199793935,3629.704342238071,5165.5083199793935,93,3
