funcion,category,optimum_group_label,fitness_min,fitness_mean,fitness_std,gap_abs_mean,n_total
F1,Unimodal,Optimum = 0,7.632461512946319,4473.580766997447,5657.550632869254,4473.580766997447,527
F11,Multimodal,Optimum = 0,1.0104780819545178,41.65255572061004,51.40450248737114,41.65255572061004,527
F21,Fixed-dim,Optimum != 0,-10.15319967905823,-5.82108705672687,3.4874216132575793,4.332112622331359,527
F22,Fixed-dim,Optimum != 0,-10.402940566818666,-6.291868520648108,3.5463200446667473,4.111072046170556,527
F23,Fixed-dim,Optimum != 0,-10.53640981669205,-5.92576121870029,3.6915803221951995,4.610648597991758,527
F5,Multimodal,Optimum = 0,538.552462737729,1189453.1499458428,1739194.0475047056,1189453.1499458428,527
