display_name,category,optimum_group_label,fitness_mean,fitness_std,gap_abs_mean,n_runs
PSO-STD,Fixed-dim,Optimum != 0,-5.933279682894648,3.6886875204786786,4.430903671294999,93
PSO-STD,Multimodal,Optimum = 0,582.7642214507655,670.7709206064118,582.7642214507655,62
PSO-STD,Unimodal,Optimum = 0,26.422596974291224,10.60584113854186,26.422596974291224,31
R1-3L,Fixed-dim,Optimum != 0,-6.63072011709441,3.706600581152017,3.7334632370952363,93
R1-3L,Multimodal,Optimum = 0,767.8609703907417,882.895843891416,767.8609703907417,62
R1-3L,Unimodal,Optimum = 0,47.658140118170806,19.61565428284904,47.658140118170806,31
R1-5L,Fixed-dim,Optimum != 0,-6.70972406742661,3.706526315944201,3.654459286763037,93
R1-5L,Multimodal,Optimum = 0,675.5849363770753,750.8874850364305,675.5849363770753,62
R1-5L,Unimodal,Optimum = 0,33.2607404542065,17.223493425064436,33.2607404542065,31
R2-3L,Fixed-dim,Optimum != 0,-5.82356529759594,3.5276705822728576,4.540618056593707,93
R2-3L,Multimodal,Optimum = 0,1630116.2568743888,1786592.5620380999,1630116.2568743888,62
R2-3L,Unimodal,Optimum = 0,11081.964088301644,1943.9804168966875,11081.964088301644,31
R2-5L,Fixed-dim,Optimum != 0,-5.800410663757381,3.498626104371771,4.563772690432265,93
R2-5L,Multimodal,Optimum = 0,1817253.6389528026,2088687.4255700447,1817253.6389528026,62
R2-5L,Unimodal,Optimum = 0,12329.940197032734,2631.789237199659,12329.940197032734,31
R3-3L,Fixed-dim,Optimum != 0,-6.182821119760241,3.5163173988264753,4.181362234429406,93
R3-3L,Multimodal,Optimum = 0,1605876.1040146113,1813485.855093184,1605876.1040146113,62
R3-3L,Unimodal,Optimum = 0,11549.016345977361,2354.612126869959,11549.016345977361,31
R3-5L,Fixed-dim,Optimum != 0,-5.535646084397429,3.496083639407145,4.828537269792217,93
R3-5L,Multimodal,Optimum = 0,1439753.1425315435,1586223.7951771615,1439753.1425315435,62
R3-5L,Unimodal,Optimum = 0,11716.290489782354,2458.7066081660796,11716.290489782354,31
R4-3L,Fixed-dim,Optimum != 0,-6.439787253752971,3.5884689234977936,3.924396100436675,93
R4-3L,Multimodal,Optimum = 0,52490.59087167671,55185.493384466696,52490.59087167671,62
R4-3L,Unimodal,Optimum = 0,1756.6897566633138,180.25640705840314,1756.6897566633138,31
R4-5L,Fixed-dim,Optimum != 0,-6.370404695047495,3.6612915398958488,3.993778659142151,93
R4-5L,Multimodal,Optimum = 0,84580.23501951006,88078.35314803106,84580.23501951006,62
R4-5L,Unimodal,Optimum = 0,2300.6774747702157,163.7337702483987,2300.6774747702157,31
R5-3L,Fixed-dim,Optimum != 0,-6.395509428376194,3.60860165346637,3.9686739258134534,93
R5-3L,Multimodal,Optimum = 0,1076.4012747034747,1463.3603470760206,1076.4012747034747,62
R5-3L,Unimodal,Optimum = 0,58.09151844175311,35.651797881142514,58.09151844175311,31
R5-5L,Fixed-dim,Optimum != 0,-5.595327678654186,3.5238460422453644,4.76885567553546,93
R5-5L,Multimodal,Optimum = 0,731.7444211700957,892.3565769179291,731.7444211700957,62
R5-5L,Unimodal,Optimum = 0,47.65105747329347,47.85439314176456,47.65105747329347,31
R6-3L,Fixed-dim,Optimum != 0,-6.242637677047021,3.730707032742202,4.121545677142625,93
R6-3L,Multimodal,Optimum = 0,1956.6006890124595,2253.731213487085,1956.6006890124595,62
R6-3L,Unimodal,Optimum = 0,111.31252054447813,25.409541383845305,111.31252054447813,31
R6-5L,Fixed-dim,Optimum != 0,-5.781497029509433,3.5731194900458805,4.582686324680214,93
R6-5L,Multimodal,Optimum = 0,1521.9227782126734,1631.736990024193,1521.9227782126734,62
R6-5L,Unimodal,Optimum = 0,112.51704257815221,28.87180486185402,112.51704257815221,31
R7-3L,Fixed-dim,Optimum != 0,-5.803247428043343,3.4459147530204803,4.560935926146303,93
R7-3L,Multimodal,Optimum = 0,1558947.2921712918,1791806.7739281943,1558947.2921712918,62
R7-3L,Unimodal,Optimum = 0,11826.522175063361,2292.2009735385004,11826.522175063361,31
R7-5L,Fixed-dim,Optimum != 0,-5.687846649537606,3.495946534482447,4.676336704652041,93
R7-5L,Multimodal,Optimum = 0,1904698.968480539,2184441.001157409,1904698.968480539,62
R7-5L,Unimodal,Optimum = 0,12549.923704602052,2316.3901180788093,12549.923704602052,31
R8-3L,Fixed-dim,Optimum != 0,-6.020733504829783,3.5628630864022464,4.343449849359863,93
R8-3L,Multimodal,Optimum = 0,4361.337302858859,4594.976374547894,4361.337302858859,62
R8-3L,Unimodal,Optimum = 0,244.57366896180085,66.31309530774703,244.57366896180085,31
R8-5L,Fixed-dim,Optimum != 0,-5.266236800035154,3.4377304870387473,5.097946554154492,93
R8-5L,Multimodal,Optimum = 0,5315.37575274839,5619.234792408591,5315.37575274839,62
R8-5L,Unimodal,Optimum = 0,258.36152121743305,70.05820886747168,258.36152121743305,31
