Diversity,Progress,w_set_A,w_set_B,w_set_C,w_set_D,Activated_Rules
0.02,0.38,0.3570,0.3590,0.4000,0.3410,low AND early -> medium (0.100) | low AND mid -> low (0.100)
0.02,0.40,0.2731,0.2561,0.3000,0.2200,low AND mid -> low (0.100) | low AND early -> medium (0.001)
0.02,0.42,0.2731,0.2561,0.3000,0.2200,low AND mid -> low (0.100)
0.02,0.44,0.2731,0.2561,0.3000,0.2200,low AND mid -> low (0.100)
0.02,0.46,0.2731,0.2561,0.3000,0.2200,low AND mid -> low (0.100)
0.02,0.48,0.2731,0.2561,0.3000,0.2200,low AND mid -> low (0.100)
0.02,0.50,0.2731,0.2561,0.3000,0.2200,low AND mid -> low (0.100)
0.02,0.52,0.2731,0.2561,0.3000,0.2200,low AND mid -> low (0.100)
0.02,0.54,0.2731,0.2561,0.3000,0.2200,low AND mid -> low (0.100)
0.02,0.56,0.2731,0.2561,0.3000,0.2200,low AND mid -> low (0.100)
0.02,0.58,0.2731,0.2561,0.3000,0.2200,low AND mid -> low (0.100)
0.02,0.60,0.2731,0.2561,0.3000,0.2200,low AND mid -> low (0.100) | low AND late -> low (0.001)
0.02,0.62,0.2731,0.2561,0.3000,0.2200,low AND mid -> low (0.100) | low AND late -> low (0.100)
0.02,0.64,0.2731,0.2561,0.3000,0.2200,low AND mid -> low (0.100) | low AND late -> low (0.100)
0.02,0.66,0.2731,0.2561,0.3000,0.2200,low AND mid -> low (0.100) | low AND late -> low (0.100)
0.02,0.68,0.2731,0.2561,0.3000,0.2200,low AND mid -> low (0.100) | low AND late -> low (0.100)
0.02,0.70,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.02,0.72,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.02,0.74,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.02,0.76,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.02,0.78,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.02,0.80,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.02,0.82,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.02,0.84,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.02,0.86,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.02,0.88,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.02,0.90,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.02,0.92,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.02,0.94,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.02,0.96,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.02,0.98,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.02,1.00,0.2796,0.2600,0.3000,0.2200,low AND late -> low (0.001)
0.04,0.00,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.04,0.02,0.5000,0.5000,0.5000,0.4239,low AND early -> medium (0.100)
0.04,0.04,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
0.04,0.06,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
0.04,0.08,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
0.04,0.10,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
0.04,0.12,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
